"Row.names","log2FoldChange"
"Fbxo43",1.02971557755355
"Comp",1.02819036503197
"Dscaml1",1.02798291632247
"Ang",1.02737615799618
"Cthrc1",1.02561769122349
"Mir1968",1.02444149887347
"Pltp",1.02429658668712
"Gm12454",1.02363264045458
"Dpysl2",1.02267046149238
"Gm30008",1.02182729780997
"Cdhr1",1.02160779851583
"Gpr153",1.01871419040376
"Zfp629",1.01678015471588
"Syce3",1.01553410789556
"Cd164l2",1.01499782365398
"Gm12248",1.01354549717203
"Gm13061",1.01271913924897
"Lrrc34",1.01193066808771
"Ahnak2",1.01185798426299
"Pdlim4",1.01137760417235
"Myrfl",1.01000149774422
"Trh",1.00924227301243
"Gm31925",1.0086947242944
"Gm25788",1.00864294871374
"Egln3",1.00810511247427
"Rara",1.0068871994544
"Lgi4",1.00663000607355
"Car14",1.00553562773614
"Gm17590",1.00551318683468
"Myod1",1.00544090448412
"Ccdc162",1.00483208756482
"Gm5750",1.00312141804677
"Gm43398",1.00283994679073
"D830025C05Rik",1.002112332371
"Cxcl11",1.00134888584245
"Plcg2",1.00112182915108
"Zbp1",1.00105370853226
"Lrcol1",0.998960534002881
"1700029M20Rik",0.998231226565284
"C2",0.998067030075224
"Ccdc92b",0.998053815371559
"Gm28513",0.99765825787147
"Mindy2",0.99726342152935
"Aldh1l1",0.995717324529798
"Cacna1g",0.994153188122916
"2410006H16Rik",0.990753296220389
"Gm49936",0.989862866143113
"Ifi30",0.989684670747615
"Gm26220",0.988990858781145
"Rapgef3os1",0.987845876031008
"Cldn15",0.987319410303289
"Cage1",0.985723877122456
"Rtn4r",0.985567561693334
"1700125H20Rik",0.985253638981664
"Ank3",0.985120498240506
"Ctrb1",0.984822917579875
"Dok7",0.984711171348217
"Vwf",0.984506493773917
"Tagln2",0.98344834448207
"Bhlha15",0.982377794944781
"Cd2",0.982096753366707
"Sema6c",0.980965660192542
"Ppm1j",0.980081136263907
"Cacna1h",0.980054861363397
"Prph",0.978191770282738
"Pim3",0.977434599771269
"Entpd2",0.976831230860505
"4833428L15Rik",0.975742112770122
"Gm42504",0.975665957811721
"Gm14027",0.974957955178653
"Aldoc",0.97474745557033
"Gm44689",0.972998473716943
"Sema6b",0.972333021663593
"Gm5069",0.970469208712717
"Agpat3",0.969977798306662
"Fxyd6",0.969862626027555
"Npy",0.968014221422204
"Usp11",0.967140429964599
"Vmn2r57",0.966976734345484
"Tmem130",0.966594697773826
"Megf11",0.965243463900716
"Trim63",0.964416249189948
"B230311B06Rik",0.964040072080629
"Sema7a",0.963986236149471
"Retreg1",0.963973312017614
"Dkk3",0.963275861953844
"Pld4",0.962353484238173
"Slc5a5",0.96201807272111
"Fn1",0.961736858628058
"Fah",0.959831700142016
"Coro2b",0.959696469158628
"Wnt6",0.959299872753441
"Gm50250",0.959068608974669
"Gm14267",0.957163634041268
"Gm48012",0.957076811890943
"2610307P16Rik",0.957057921933338
"Neurog3",0.956366433259021
"C230062I16Rik",0.955907599791139
"Kiss1r",0.955765362426995
"Rtn4rl2",0.955723579512692
"Gm11732",0.955233058460481
"Slc2a4",0.954923544167888
"Jhy",0.953723252293601
"Gm13522",0.952961015717534
"Tmem156",0.950677242118151
"Rnase1",0.950358885043112
"Lamp2",0.950287331901488
"Gm8100",0.950029534444424
"Palm",0.949943496256209
"Lin28a",0.949874053634112
"Zfas1",0.949800051428355
"Gm15351",0.949484354301297
"Hif3a",0.948942837094429
"Gm43059",0.948760052044537
"Gm20659",0.948485438218498
"Dact3",0.947276499990903
"Epb41l4aos",0.947217369254827
"Efcab10",0.94704185592568
"Gm44544",0.94513951329518
"Tmem151a",0.944754237747441
"Gm13415",0.944671497382824
"Cdkn1a",0.943700557483416
"Slfn5os",0.943493092709062
"Gm20511",0.942542695295444
"Smagp",0.942433661437597
"Slc25a36",0.942299968867417
"Dpys",0.942289606694135
"Nek5",0.941822879441842
"Rap1gap2",0.94110347707241
"Gm20421",0.941028249575997
"Slc9a5",0.940890930515103
"Neu1",0.93971928557319
"Dbndd2",0.939571579640368
"Gm10642",0.937333866910769
"Cmbl",0.935943478025924
"Myo18b",0.935675235575058
"Mcf2l",0.935460656857633
"Tgfbi",0.934349020015702
"Ablim1",0.93392970223715
"Snora65",0.933402118469645
"4933440M02Rik",0.932208519415269
"Gstt1",0.932147073163304
"Gm7684",0.931939311341861
"Tmem213",0.931304359434862
"B3galt5",0.93077222758305
"Kdelr3",0.930729798046716
"Fstl1",0.930591893660227
"Kcnn4",0.930494785484702
"Padi2",0.930472114460002
"Cpne7",0.930349719407975
"Gm17511",0.929829171910162
"Paqr6",0.929103608914276
"Epp13",0.928786393727088
"Hes2",0.928437564070867
"Ace3",0.927297902481355
"Ckm",0.927282129253805
"Gm40309",0.926872057412761
"Aplp1",0.926801439092558
"Epha10",0.926714255769772
"Cdhr3",0.926467196016952
"Fbxo47",0.92636976677576
"Plk5",0.925693845058269
"Gm15631",0.924515405718574
"Ccdc136",0.92362032037825
"Ptger2",0.922158536785359
"Gm44243",0.921128367508319
"Hpd",0.921128367508319
"Mir135a-1",0.921032905087894
"Dpysl3",0.920821172599391
"Klhdc7a",0.919910277972373
"Glp1r",0.9193437245403
"Vax2os",0.919248209483359
"Zhx2",0.919128234428595
"Gm30108",0.917129493303878
"Irf8",0.916523302619264
"Tmem205",0.916355843376997
"Apol7d",0.916286748806046
"mt-Rnr2",0.916138280695689
"Reep2",0.916071404218618
"Skap1",0.91520287181311
"Atxn7l1os2",0.915069953471786
"Tspan17",0.914672417455149
"Gm46209",0.91419840529868
"9330159F19Rik",0.913550628444968
"Trim2",0.913434364719467
"Acot1",0.912476070542277
"Gm27320",0.912339057175122
"6530402F18Rik",0.91223032900096
"Hexa",0.910282098010211
"Gm43917",0.91003092729822
"Vmn2r-ps99",0.910025866265608
"Rfx4",0.90993977586876
"Lypd6b",0.909678946666862
"Gjd3",0.909652856629456
"Mettl7a1",0.909589924203498
"Mgat4d",0.909516015385629
"Gm28402",0.908382990500124
"Atp4a",0.907751260445166
"Map3k21",0.907569873523566
"Hcn4",0.906900682625046
"Gfpt2",0.906749752867651
"Igtp",0.906072591786964
"Ropn1l",0.906019582626394
"P3h4",0.906015902991841
"Slc7a7",0.90591974388638
"Creb3l3",0.905828549617457
"Shisal2a",0.904888513735714
"Raxos1",0.90447939423708
"Slc17a9",0.903913135650263
"C030015A19Rik",0.903252406718063
"Gm10157",0.90274434220562
"Gm45477",0.902685551762442
"Matn3",0.902519146517145
"Cers1",0.902484645063065
"1700095B10Rik",0.902421654247259
"Gpbar1",0.90241627818591
"Gm45094",0.902366258867575
"Gm10687",0.902350766881436
"Rgs3",0.902336510583083
"Mylk2",0.902161842325028
"Gm48283",0.901972382724121
"Gm10941",0.901127816486337
"Gm11534",0.900146971159201
"Mamstr",0.89999124259584
"Gm44502",0.899972184642974
"Atp1b1",0.899742571466428
"Plekhg6",0.89951286061777
"Gm44002",0.899431963790725
"Osbpl5",0.899220849423502
"Amh",0.898229729393319
"Hexb",0.898113411262884
"Vmn2r-ps108",0.898099377351612
"Cdh9",0.897773112797776
