"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC163611.1",81.4368708892964,-1.66927080555445,0.34243218619885,-4.87474855703287,1.08947132567286e-06,1.017830688679e-05
"AC168977.1",105.464332116413,-2.23390760767562,0.317352156095985,-7.03920728050752,1.93336581294345e-12,4.63918494145092e-11
"AF067061",191.979668217183,-1.76389141788389,0.235234807976691,-7.49842862565931,6.45874048171957e-14,1.88766001702015e-12
"AI504432",42.3976203056785,-1.57657345390798,0.459871983685959,-3.42828767534706,0.000607401451613404,0.00297824496567403
"AI593442",26.3011107519081,-2.11308160810041,0.614718984497152,-3.43747575947884,0.0005871632728162,0.00289472190014724
"AI662270",379.331085225553,-5.30351993475186,0.278909096329604,-19.0152275581732,1.27582069209864e-80,1.55950317540057e-77
"AU015228",18.7625954151051,-2.4750310285742,0.726832257386832,-3.40523002855245,0.000661083427676351,0.00320383591194654
"AU015836",441.592836540524,-1.11924394182813,0.154137697215965,-7.26132517900499,3.83316191397735e-13,1.02250455163606e-11
"AU018091",7451.62638083962,-1.03406930559798,0.063366862432867,-16.3187708195827,7.25823837944502e-60,3.96911035591757e-57
"AU019990",11.4345304420822,-3.76605080997727,1.11866019190107,-3.36657265293152,0.000761085310032029,0.00363237316087863
"AU022751",461.886606829393,-1.66604764690878,0.154151290763271,-10.8078734771499,3.15908281703505e-27,3.12598766371373e-25
"AV320801",225.668474460929,-3.48624565109277,0.246764528505627,-14.1278232824021,2.55933502081146e-45,6.99776075427132e-43
"AW822073",47.0805761815332,-1.91158388031949,0.446239170342778,-4.28376531547223,1.837567386539e-05,0.000133093936187802
"Aard",1537.510313579,-1.50122651993533,0.224736849737205,-6.6799304239193,2.39055716888505e-11,4.8797424331465e-10
"Abca16",47.6098052797332,-1.2508276615288,0.452458932379596,-2.76451092467195,0.00570081981822761,0.020845158511837
"Abcb1a",886.442739771501,-0.996058150333363,0.120554242062701,-8.26232352583089,1.42863859260833e-16,5.54899251484134e-15
"Abcb5",71.9534204833164,-2.65463262111897,0.383957642845225,-6.91386841904605,4.71612648903413e-12,1.07575311132963e-10
"Accsl",165.852446096029,-0.907661028609411,0.225619018445539,-4.02298101845748,5.74661294499296e-05,0.000370392732620824
"Actb",50922.5323274185,-0.647378468887272,0.0551823985393535,-11.7316116374607,8.77713837735763e-32,1.17670280955801e-29
"Actn2",393.920318744098,-0.610840183799795,0.155024439949593,-3.94028311921921,8.13855009499627e-05,0.000504381362881069
"Acyp2",58.7094971888421,-1.00806033966389,0.36983200209869,-2.72572501552984,0.00641604268950652,0.0231026454839621
"Adamts1",81.3902737193434,-0.79963336047632,0.318059564057502,-2.51409940413473,0.0119336792255636,0.0387956593096388
"Adamts8",119.824058780481,-1.03659738443773,0.261257931635783,-3.96771641705729,7.25646071646494e-05,0.00045528156306806
"Add1",4998.10670099375,-0.595168422899172,0.0654701123232321,-9.09068889267778,9.84134975180376e-20,5.28432164967654e-18
"Adgrg6",97.342125748139,-1.38205538119406,0.299864618041373,-4.60893115773791,4.04744310305404e-06,3.37638971021529e-05
"Adgrl3",113.059472685327,-1.47918727553635,0.28118020312213,-5.26063805030353,1.43556375388851e-07,1.59438881912364e-06
"Adh4",67.426295669856,-1.43598546578224,0.359472841149905,-3.99469807284668,6.47767481733824e-05,0.00041151355152641
"Adh7",36.1576305458089,-1.85848925524049,0.498389333808143,-3.72899082939828,0.000192248147566977,0.0010870521105964
"Aebp1",154.06112498587,-0.624997690661859,0.240980733618362,-2.59355875167871,0.00949883082954666,0.0321440299478223
"Ahsg",73.8973302932362,-1.13160695030271,0.336802371041988,-3.35985446539995,0.000779835408436319,0.00371333175694471
"Aicda",22.2409135806228,-1.53475583423407,0.616666806611873,-2.48879267990183,0.012817768630573,0.0412247689434
"Aim2",561.360542852646,-1.41362358452359,0.129608287985846,-10.9068918854785,1.06847196829857e-27,1.09049634169325e-25
"Ak4",14460.8954559641,-0.683733881654158,0.0562920697662786,-12.1461847910901,6.01055514313955e-34,8.92138113388856e-32
